time_debut,time_fin,n_stations,stations,n_picks,probabilite_max
2014-02-24T13:44:51.879900,2014-02-24T13:44:59.689900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:45:07.459900,2014-02-24T13:45:15.209900,5,"BAM,CPM,IA2,MLM,SAM",6,1.0
2014-02-24T13:45:30.789900,2014-02-24T13:45:38.479900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:46:09.779900,2014-02-24T13:46:17.419900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:46:30.989900,2014-02-24T13:46:34.929900,4,"BAM,CPM,MLM,SAM",4,1.0
2014-02-24T13:46:53.289900,2014-02-24T13:46:59.860000,5,"BAM,CPM,GBM,IA2,MLM",5,1.0
2014-02-24T13:47:11.899900,2014-02-24T13:47:19.669900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T13:47:33.069900,2014-02-24T13:47:43.049900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:48:45.289900,2014-02-24T13:48:53.119900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:49:24.269900,2014-02-24T13:49:32.199900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:50:06.189900,2014-02-24T13:50:13.419900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:50:37.240000,2014-02-24T13:50:43.539900,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-24T13:50:49.849900,2014-02-24T13:50:57.489900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:51:20.779900,2014-02-24T13:51:22.999900,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-24T13:51:28.669900,2014-02-24T13:51:36.919900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:52:10.519900,2014-02-24T13:52:18.809900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:52:46.399900,2014-02-24T13:52:54.249900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:53:25.019900,2014-02-24T13:53:33.309900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:54:09.929900,2014-02-24T13:54:19.819900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:54:49.739900,2014-02-24T13:54:52.109900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:55:28.270000,2014-02-24T13:55:37.559900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:56:00.939900,2014-02-24T13:56:09.009900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:56:39.869900,2014-02-24T13:56:48.819900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:57:18.839900,2014-02-24T13:57:28.379900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:57:34.049900,2014-02-24T13:57:42.159900,4,"BAM,CPM,MLM,SAM",5,1.0
2014-02-24T13:57:46.339900,2014-02-24T13:57:52.519900,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-24T13:58:05.419900,2014-02-24T13:58:13.169900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:58:44.279900,2014-02-24T13:58:52.089900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:59:23.229900,2014-02-24T13:59:31.039900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:59:34.830000,2014-02-24T13:59:43.629900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T13:59:57.659900,2014-02-24T14:00:07.249900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T14:00:33.229900,2014-02-24T14:00:40.929900,4,"BAM,CPM,MLM,SAM",5,1.0
