time_debut,time_fin,n_stations,stations,n_picks,probabilite_max
2014-02-24T13:21:29.059900,2014-02-24T13:21:38.410000,6,"BAM,CPM,IA2,LAM,MLM,SAM",6,0.9999999403953552
2014-02-24T13:21:39.569900,2014-02-24T13:21:47.039900,5,"BAM,CPM,GBM,LAM,MLM",6,1.0
2014-02-24T13:22:18.359900,2014-02-24T13:22:26.239900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:22:32.819900,2014-02-24T13:22:41.779900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T13:22:57.379900,2014-02-24T13:23:06.319900,5,"BAM,CPM,GBM,LAM,MLM",6,1.0
2014-02-24T13:23:20.199900,2014-02-24T13:23:28.449900,4,"BAM,CPM,IA2,MLM",5,1.0
2014-02-24T13:23:44.019900,2014-02-24T13:23:51.779900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:23:59.549900,2014-02-24T13:24:07.349900,4,"BAM,CPM,MLM,SAM",5,0.9999966025352478
2014-02-24T13:24:12.309900,2014-02-24T13:24:18.600000,4,"BAM,CPM,LAM,MLM",4,0.9999992251396179
2014-02-24T13:24:54.019900,2014-02-24T13:25:03.669900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:25:09.599900,2014-02-24T13:25:19.200000,4,"BAM,CPM,LAM,MLM",5,0.9999998807907104
2014-02-24T13:25:39.339900,2014-02-24T13:25:43.409900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:26:16.679900,2014-02-24T13:26:23.169900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:27:02.769900,2014-02-24T13:27:06.319900,5,"BAM,CPM,GBM,IA2,MLM",5,1.0
2014-02-24T13:27:29.639900,2014-02-24T13:27:31.219900,4,"BAM,CPM,MLM,SAM",4,0.9999999403953552
2014-02-24T13:27:37.449900,2014-02-24T13:27:45.139900,5,"BAM,CPM,GBM,MLM,SAM",6,1.0
2014-02-24T13:28:08.439900,2014-02-24T13:28:16.279900,4,"BAM,CPM,LAM,MLM",5,1.0
2014-02-24T13:28:20.889900,2014-02-24T13:28:26.199900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:28:53.180000,2014-02-24T13:29:03.029900,6,"BAM,CPM,GBM,IA2,MLM,SAM",7,1.0
2014-02-24T13:29:30.680000,2014-02-24T13:29:35.849900,4,"BAM,CPM,LAM,MLM",4,1.0
2014-02-24T13:30:12.859900,2014-02-24T13:30:21.289900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:30:36.299900,2014-02-24T13:30:45.449900,5,"BAM,CPM,IA2,MLM,SAM",6,1.0
2014-02-24T13:30:48.820000,2014-02-24T13:30:51.899900,4,"BAM,IA2,LAM,MLM",4,0.9999999403953552
2014-02-24T13:30:59.309900,2014-02-24T13:31:02.409900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:31:38.579900,2014-02-24T13:31:46.339900,5,"BAM,CPM,GBM,MLM,SAM",6,1.0
2014-02-24T13:31:49.420000,2014-02-24T13:31:54.899900,4,"BAM,CPM,LAM,MLM",4,1.0
2014-02-24T13:32:01.909900,2014-02-24T13:32:09.709900,5,"BAM,CPM,LAM,MLM,SAM",6,0.9999999403953552
2014-02-24T13:32:17.099900,2014-02-24T13:32:25.209900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:32:29.559900,2014-02-24T13:32:36.699900,4,"BAM,CPM,IA2,MLM",4,0.9999999403953552
2014-02-24T13:33:00.059900,2014-02-24T13:33:06.909900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:33:17.500000,2014-02-24T13:33:19.719900,5,"BAM,CPM,LAM,MLM,SAM",5,0.9999979138374329
2014-02-24T13:33:39.779900,2014-02-24T13:33:46.249900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:34:19.240000,2014-02-24T13:34:21.959900,4,"BAM,GBM,IA2,MLM",4,1.0
2014-02-24T13:34:41.899900,2014-02-24T13:34:46.369900,4,"BAM,CPM,LAM,MLM",4,0.9999999403953552
2014-02-24T13:34:53.069900,2014-02-24T13:35:00.779900,5,"BAM,CPM,GBM,IA2,MLM",6,1.0
2014-02-24T13:35:08.559900,2014-02-24T13:35:16.399900,4,"BAM,CPM,MLM,SAM",5,0.9999998211860657
2014-02-24T13:35:31.929900,2014-02-24T13:35:40.660000,5,"BAM,CPM,GBM,LAM,MLM",6,1.0
2014-02-24T13:35:46.420000,2014-02-24T13:35:55.299900,4,"BAM,CPM,LAM,MLM",5,1.0
2014-02-24T13:36:00.820000,2014-02-24T13:36:07.980000,5,"BAM,CPM,IA2,LAM,MLM",5,1.0
2014-02-24T13:36:57.509900,2014-02-24T13:37:05.309900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:37:13.109900,2014-02-24T13:37:20.879900,4,"BAM,CPM,LAM,MLM",5,0.9999998807907104
2014-02-24T13:37:36.369900,2014-02-24T13:37:44.169900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:37:52.059900,2014-02-24T13:37:59.779900,4,"BAM,CPM,IA2,MLM",5,0.9999999403953552
2014-02-24T13:38:23.119900,2014-02-24T13:38:30.889900,5,"BAM,CPM,LAM,MLM,SAM",6,0.9999998807907104
2014-02-24T13:38:34.210000,2014-02-24T13:38:42.699900,4,"BAM,CPM,LAM,MLM",4,1.0
2014-02-24T13:38:52.139900,2014-02-24T13:39:02.019900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:39:02.730000,2014-02-24T13:39:09.789900,4,"BAM,CPM,IA2,MLM",4,1.0
2014-02-24T13:39:16.990000,2014-02-24T13:39:20.049900,4,"BAM,CPM,MLM,SAM",4,0.9999999403953552
2014-02-24T13:39:32.409900,2014-02-24T13:39:40.809900,5,"BAM,CPM,GBM,LAM,MLM",6,1.0
2014-02-24T13:39:44.849900,2014-02-24T13:39:48.629900,4,"BAM,CPM,IA2,MLM",4,0.9999992251396179
2014-02-24T13:40:09.709900,2014-02-24T13:40:16.569900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:40:43.099900,2014-02-24T13:40:50.939900,4,"BAM,CPM,LAM,MLM",5,1.0
2014-02-24T13:40:56.309900,2014-02-24T13:40:59.459900,4,"BAM,CPM,GBM,MLM",4,1.0
2014-02-24T13:41:06.389900,2014-02-24T13:41:15.990000,4,"BAM,CPM,LAM,MLM",5,1.0
2014-02-24T13:41:34.010000,2014-02-24T13:41:39.129900,5,"BAM,CPM,GBM,IA2,MLM",5,1.0
2014-02-24T13:42:13.959900,2014-02-24T13:42:20.759900,5,"BAM,CPM,GBM,LAM,MLM",5,1.0
2014-02-24T13:42:47.529900,2014-02-24T13:42:55.459900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:43:16.149900,2014-02-24T13:43:22.770000,4,"BAM,CPM,IA2,MLM",4,0.9999998807907104
2014-02-24T13:43:26.489900,2014-02-24T13:43:35.049900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:43:40.949900,2014-02-24T13:43:49.779900,4,"BAM,CPM,LAM,MLM",5,1.0
2014-02-24T13:44:12.119900,2014-02-24T13:44:21.039900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:44:52.099900,2014-02-24T13:44:59.869900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:45:04.430000,2014-02-24T13:45:12.120000,6,"BAM,CPM,IA2,LAM,MLM,SAM",6,0.9999999403953552
2014-02-24T13:45:30.999900,2014-02-24T13:45:38.769900,4,"BAM,CPM,GBM,MLM",5,1.0
2014-02-24T13:45:57.829900,2014-02-24T13:46:05.030000,4,"BAM,CPM,LAM,MLM",4,0.9999989867210388
