G.FDF.00.BHN | 2014-04-01T00:00:00.000000Z - 2014-04-01T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-02T00:00:00.000000Z - 2014-04-02T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-03T00:00:00.000000Z - 2014-04-03T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-04T00:00:00.000000Z - 2014-04-04T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-05T00:00:00.000000Z - 2014-04-05T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-06T00:00:00.000001Z - 2014-04-06T23:59:59.950001Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-07T00:00:00.000000Z - 2014-04-07T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-08T00:00:00.000000Z - 2014-04-09T00:00:00.000000Z | 20.0 Hz, 1728001 samples
G.FDF.00.BHN | 2014-04-09T00:00:00.049998Z - 2014-04-09T23:59:59.949998Z | 20.0 Hz, 1727999 samples
G.FDF.00.BHN | 2014-04-10T00:00:00.000000Z - 2014-04-10T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-11T00:00:00.000000Z - 2014-04-11T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-12T00:00:00.000000Z - 2014-04-12T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-13T00:00:00.000000Z - 2014-04-14T00:00:00.000000Z | 20.0 Hz, 1728001 samples
G.FDF.00.BHN | 2014-04-14T00:00:00.049998Z - 2014-04-14T23:59:59.949998Z | 20.0 Hz, 1727999 samples
G.FDF.00.BHN | 2014-04-15T00:00:00.000000Z - 2014-04-15T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-16T00:00:00.000000Z - 2014-04-16T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-17T00:00:00.000000Z - 2014-04-17T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-18T00:00:00.000001Z - 2014-04-19T00:00:00.000001Z | 20.0 Hz, 1728001 samples
G.FDF.00.BHN | 2014-04-19T00:00:00.050000Z - 2014-04-19T23:59:59.950000Z | 20.0 Hz, 1727999 samples
G.FDF.00.BHN | 2014-04-20T00:00:00.000000Z - 2014-04-20T23:59:59.950000Z | 20.0 Hz, 1728000 samples
G.FDF.00.BHN | 2014-04-21T00:00:00.000000Z - 2014-04-21T23:59:59.950000Z | 20.0 Hz, 1728000 samples
