MQ.IA2.00.EHN | 2014-03-09T00:00:00.000000Z - 2014-03-09T03:18:35.740000Z | 100.0 Hz, 1191575 samples
MQ.IA2.00.EHN | 2014-03-10T00:00:00.000000Z - 2014-03-10T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHN | 2014-03-11T00:00:00.000000Z - 2014-03-11T11:55:49.740000Z | 100.0 Hz, 4294975 samples
MQ.IA2.00.EHN | 2014-03-12T00:00:00.000000Z - 2014-03-12T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.IA2.00.EHN | 2014-03-13T00:00:00.000000Z - 2014-03-13T10:48:13.740000Z | 100.0 Hz, 3889375 samples
MQ.IA2.00.EHN | 2014-03-14T00:00:00.000000Z - 2014-03-14T10:34:14.740000Z | 100.0 Hz, 3805475 samples
MQ.IA2.00.EHN | 2014-03-15T00:00:00.000000Z - 2014-03-15T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHN | 2014-03-16T00:00:00.000000Z - 2014-03-16T13:18:20.740000Z | 100.0 Hz, 4790075 samples
MQ.IA2.00.EHN | 2014-03-17T00:00:00.000000Z - 2014-03-17T12:19:13.740000Z | 100.0 Hz, 4435375 samples
MQ.IA2.00.EHN | 2014-03-18T00:00:00.000000Z - 2014-03-18T10:21:14.740000Z | 100.0 Hz, 3727475 samples
MQ.IA2.00.EHN | 2014-03-19T00:00:00.000000Z - 2014-03-19T08:42:11.740000Z | 100.0 Hz, 3133175 samples
MQ.IA2.00.EHN | 2014-03-20T00:00:00.000000Z - 2014-03-20T10:27:16.740000Z | 100.0 Hz, 3763675 samples
MQ.IA2.00.EHN | 2014-03-21T00:00:00.000000Z - 2014-03-21T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHN | 2014-03-22T00:00:00.000000Z - 2014-03-22T11:08:08.740000Z | 100.0 Hz, 4008875 samples
MQ.IA2.00.EHN | 2014-03-23T00:00:00.000000Z - 2014-03-23T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHN | 2014-03-24T00:00:00.000000Z - 2014-03-24T09:23:31.740000Z | 100.0 Hz, 3381175 samples
MQ.IA2.00.EHN | 2014-03-25T00:00:00.000000Z - 2014-03-25T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.IA2.00.EHN | 2014-03-26T00:00:00.000000Z - 2014-03-26T10:35:28.740000Z | 100.0 Hz, 3812875 samples
MQ.IA2.00.EHN | 2014-03-27T00:00:00.000000Z - 2014-03-27T10:33:48.740000Z | 100.0 Hz, 3802875 samples
MQ.IA2.00.EHN | 2014-03-28T00:00:00.000000Z - 2014-03-28T00:02:15.740000Z | 100.0 Hz, 13575 samples
MQ.IA2.00.EHN | 2014-03-29T00:00:00.000000Z - 2014-03-29T11:25:59.740000Z | 100.0 Hz, 4115975 samples
MQ.IA2.00.EHN | 2014-03-30T00:00:00.000000Z - 2014-03-30T13:27:42.740000Z | 100.0 Hz, 4846275 samples
MQ.IA2.00.EHN | 2014-03-31T00:00:00.000000Z - 2014-03-31T12:39:59.740000Z | 100.0 Hz, 4559975 samples
MQ.IA2.00.EHN | 2014-04-01T00:00:00.000000Z - 2014-04-01T11:48:01.740000Z | 100.0 Hz, 4248175 samples
MQ.IA2.00.EHN | 2014-04-02T00:00:00.000000Z - 2014-04-02T10:03:01.740000Z | 100.0 Hz, 3618175 samples
