MQ.LAM.00.HHN | 2014-04-30T00:00:00.000000Z - 2014-04-30T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-05-01T00:00:00.000000Z - 2014-05-01T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-05-02T00:00:00.000000Z - 2014-05-02T11:44:59.740000Z | 100.0 Hz, 4229975 samples
MQ.LAM.00.HHN | 2014-05-03T00:00:00.000000Z - 2014-05-03T15:40:53.740000Z | 100.0 Hz, 5645375 samples
MQ.LAM.00.HHN | 2014-05-04T00:00:00.000000Z - 2014-05-04T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-05-05T00:00:00.000000Z - 2014-05-05T21:05:44.740000Z | 100.0 Hz, 7594475 samples
MQ.LAM.00.HHN | 2014-05-06T00:00:00.000000Z - 2014-05-06T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-05-07T00:00:00.000000Z - 2014-05-07T13:45:52.740000Z | 100.0 Hz, 4955275 samples
MQ.LAM.00.HHN | 2014-05-08T00:00:00.000000Z - 2014-05-08T18:30:47.740000Z | 100.0 Hz, 6664775 samples
MQ.LAM.00.HHN | 2014-05-09T00:00:00.000000Z - 2014-05-09T11:36:53.740000Z | 100.0 Hz, 4181375 samples
MQ.LAM.00.HHN | 2014-05-10T00:00:00.000000Z - 2014-05-10T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-05-11T00:00:00.000000Z - 2014-05-11T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-05-12T00:00:00.000000Z - 2014-05-12T11:05:41.740000Z | 100.0 Hz, 3994175 samples
MQ.LAM.00.HHN | 2014-05-13T00:00:00.000000Z - 2014-05-13T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-05-14T00:00:00.000000Z - 2014-05-14T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-05-15T00:00:00.000000Z - 2014-05-15T11:57:48.740000Z | 100.0 Hz, 4306875 samples
MQ.LAM.00.HHN | 2014-05-16T00:00:00.000000Z - 2014-05-16T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-05-17T00:00:00.000000Z - 2014-05-17T01:16:09.740000Z | 100.0 Hz, 456975 samples
MQ.LAM.00.HHN | 2014-05-18T00:00:00.000000Z - 2014-05-18T09:28:28.740000Z | 100.0 Hz, 3410875 samples
MQ.LAM.00.HHN | 2014-05-19T00:00:00.000000Z - 2014-05-19T11:59:06.740000Z | 100.0 Hz, 4314675 samples
MQ.LAM.00.HHN | 2014-05-20T00:00:00.000000Z - 2014-05-20T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-05-21T00:00:00.000000Z - 2014-05-21T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-05-22T00:00:00.000000Z - 2014-05-22T09:51:44.740000Z | 100.0 Hz, 3550475 samples
MQ.LAM.00.HHN | 2014-05-23T00:00:00.000000Z - 2014-05-23T08:18:35.740000Z | 100.0 Hz, 2991575 samples
MQ.LAM.00.HHN | 2014-05-24T00:00:00.000000Z - 2014-05-24T04:31:05.740000Z | 100.0 Hz, 1626575 samples
MQ.LAM.00.HHN | 2014-05-25T00:00:00.000000Z - 2014-05-25T10:35:00.740000Z | 100.0 Hz, 3810075 samples
MQ.LAM.00.HHN | 2014-05-26T00:00:00.000000Z - 2014-05-26T23:59:58.740000Z | 100.0 Hz, 8639875 samples
MQ.LAM.00.HHN | 2014-05-27T00:00:00.000000Z - 2014-05-27T00:00:00.740000Z | 100.0 Hz, 75 samples
MQ.LAM.00.HHN | 2014-05-28T00:00:00.000000Z - 2014-05-28T23:59:59.990000Z | 100.0 Hz, 8640000 samples
MQ.LAM.00.HHN | 2014-05-29T00:00:00.000000Z - 2014-05-29T23:59:59.990000Z | 100.0 Hz, 8640000 samples
